f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
239103,504708,349672,2317.64,11445.8,3.91892,108.602,23778.7,11,74,43,286,6290.26,147.416,147.416,169.093,0.423077,13.3,0.174603,0.683792,0.202488,0.549568,7.35929,2.8069
309459,661850,485869,2606.86,13489.1,3.84615,105.421,38013.3,15,91,29,355,8345.97,150.668,150.668,164.586,0.421875,22.6667,0.213333,0.636919,0.193257,0.618722,11.1782,3.9
240210,502052,343699,2241.24,10056.3,3.71014,108.77,8171.28,7,69,51,294,6782.88,150.452,150.452,171.529,0.5,21.6154,0.210526,0.698897,0.222868,0.674487,2.34719,1.88672
216732,618526,419858,2468.37,9843.6,3.5,102.465,14102.6,10,80,12,305,7314.81,155.216,155.216,139,0.290323,26.7273,0.176471,0.516203,0.250759,0.743103,5.20554,2.85714
230562,578124,342510,2375.5,9050.03,3.42105,108.147,10935.9,8,76,33,316,7460.57,156.747,156.747,166.212,0.407407,25.3333,0.225806,0.673154,0.262485,0.824369,3.60479,2.33846
178439,828060,512142,2813.26,8180.55,3.52113,109.441,40828.1,18,71,15,291,7272.56,159.9,159.9,152.667,0.392157,28.1,0.267857,0.348418,0.343896,0.889007,16.2453,5.112
366858,818829,552124,2778.49,15784.5,3.91304,110.146,45996.1,17,92,24,334,7916.72,152.749,152.749,161.458,0.352941,21.2667,0.179487,0.664449,0.176027,0.50155,11.5348,4.34444
170852,406848,289628,2046.6,8139.74,3.5625,104.787,28952.9,14,64,22,233,5605.41,148.421,148.421,157.273,0.422222,14.5333,0.185185,0.589902,0.251433,0.688647,10.8456,3.92982
219192,515673,404900,2451.97,9091.45,3.50769,110.84,9503.32,7,65,26,226,6810.82,154.398,154.398,165.423,0.3,21.6,0.203704,0.541348,0.2697,0.749146,2.81815,1.99561
213366,521238,362550,2271,8769.69,3.41333,107.917,10207,7,75,18,327,7536.35,147.939,147.939,153.111,0.363636,13.8636,0.209677,0.588515,0.258961,0.859362,3.58786,2.05078
208935,506160,350375,2245.71,9911.53,3.91045,106.062,31415.9,16,67,23,244,5853.46,156.766,156.766,160.261,0.425532,60,0.218182,0.596317,0.226576,0.590571,10.0743,4.0916
262975,683485,459202,2585.71,10625.6,3.54054,104.856,15836.8,10,74,25,344,8490.39,153.733,153.733,165.32,0.423077,20.5,0.254237,0.572678,0.243347,0.79905,4.4564,2.82443
